id,state,district,city,road_name,road_segment,latitude,longitude,year,month,day,hour,road_category,cause,vehicle_type,road_user_type,weather,road_condition,lighting_condition,traffic_level,accidents,fatalities,injuries
ACC-10240,Tamil Nadu,Kanchipuram,Sriperumbudur,Chennai-Bengaluru Highway NH-48,Irungattukottai SIPCOT Industrial Hub,12.97619,79.95256,2023,7,13,10,National Highway,Poor Lighting,Pedestrian,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,Congested,1,0,0
ACC-10241,Tamil Nadu,Kanchipuram,Sriperumbudur,Chennai-Bengaluru Highway NH-48,Irungattukottai SIPCOT Industrial Hub,12.97398,79.94128,2023,9,21,8,National Highway,Poor Lighting,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,Low,1,0,1
ACC-10242,Tamil Nadu,Kanchipuram,Sriperumbudur,Chennai-Bengaluru Highway NH-48,Irungattukottai SIPCOT Industrial Hub,12.97616,79.94125,2023,4,5,7,National Highway,Pedestrian Crossing Hazard,Heavy Truck,Commercial Goods,Rain,Wet / Slippery,Daylight,Medium,1,0,2
ACC-10243,Tamil Nadu,Kanchipuram,Sriperumbudur,Chennai-Bengaluru Highway NH-48,Irungattukottai SIPCOT Industrial Hub,12.97365,79.95112,2024,7,13,12,National Highway,Overspeeding,Bus,Motorized Passenger,Rain,Damaged / Potholes,Daylight,Low,1,0,2
ACC-10244,Tamil Nadu,Kanchipuram,Sriperumbudur,Chennai-Bengaluru Highway NH-48,Irungattukottai SIPCOT Industrial Hub,12.97439,79.94305,2022,5,4,23,National Highway,Poor Lighting,Pedestrian,Vulnerable Road User (VRU),Clear,Dry / Smooth,Poor / Intermittent,Low,1,2,1
ACC-10245,Tamil Nadu,Kanchipuram,Sriperumbudur,Chennai-Bengaluru Highway NH-48,Irungattukottai SIPCOT Industrial Hub,12.9634,79.94365,2023,8,28,0,National Highway,Pedestrian Crossing Hazard,Heavy Truck,Commercial Goods,Clear,Under Construction,Streetlights Operational,Congested,1,2,0
ACC-10246,Tamil Nadu,Kanchipuram,Sriperumbudur,Chennai-Bengaluru Highway NH-48,Irungattukottai SIPCOT Industrial Hub,12.9629,79.94933,2024,3,11,5,National Highway,Pedestrian Crossing Hazard,Heavy Truck,Commercial Goods,Rain,Wet / Slippery,Unlit / Pitch Black,High,1,1,2
ACC-10247,Tamil Nadu,Kanchipuram,Sriperumbudur,Chennai-Bengaluru Highway NH-48,Irungattukottai SIPCOT Industrial Hub,12.96043,79.94226,2024,2,5,22,National Highway,Potholes / Road Surface Defect,Heavy Truck,Commercial Goods,Rain,Damaged / Potholes,Poor / Intermittent,High,1,1,1
ACC-10248,Tamil Nadu,Kanchipuram,Sriperumbudur,Chennai-Bengaluru Highway NH-48,Irungattukottai SIPCOT Industrial Hub,12.96287,79.95028,2022,1,22,23,National Highway,Overspeeding,Pedestrian,Vulnerable Road User (VRU),Rain,Wet / Slippery,Streetlights Operational,Low,1,1,1
ACC-10249,Tamil Nadu,Kanchipuram,Sriperumbudur,Chennai-Bengaluru Highway NH-48,Irungattukottai SIPCOT Industrial Hub,12.97537,79.95179,2023,5,15,12,National Highway,Poor Lighting,Heavy Truck,Commercial Goods,Clear,Damaged / Potholes,Daylight,Congested,1,0,0
ACC-10250,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.2995,78.41465,2024,1,8,2,Expressway,Drunk Driving,Heavy Truck,Commercial Goods,Fog/Mist,Dry / Smooth,Unlit / Pitch Black,Low,1,0,2
ACC-10251,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.30109,78.40685,2021,10,2,13,Expressway,Overspeeding,Car,Motorized Passenger,Rain,Dry / Smooth,Daylight,Congested,1,0,1
ACC-10252,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.29802,78.41696,2021,5,14,13,Expressway,Tire Burst / Mechanical,Heavy Truck,Commercial Goods,Rain,Damaged / Potholes,Daylight,High,1,0,1
ACC-10253,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.30843,78.40969,2024,4,20,8,Expressway,Drunk Driving,Two-Wheeler,Vulnerable Road User (VRU),Clear,Under Construction,Daylight,Medium,1,1,1
ACC-10254,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.30081,78.42004,2021,1,22,1,Expressway,Dangerous Junction Geometry,Car,Motorized Passenger,Fog/Mist,Dry / Smooth,Streetlights Operational,High,1,0,1
ACC-10255,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.30713,78.41501,2023,8,2,2,Expressway,Overspeeding,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Poor / Intermittent,High,1,1,0
ACC-10256,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.29785,78.41057,2022,6,12,12,Expressway,Tire Burst / Mechanical,Heavy Truck,Commercial Goods,Rain,Wet / Slippery,Daylight,Low,1,1,3
ACC-10257,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.3026,78.41141,2024,7,21,5,Expressway,Overspeeding,Car,Motorized Passenger,Rain,Wet / Slippery,Streetlights Operational,Medium,1,2,1
ACC-10258,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.2937,78.41829,2024,6,20,22,Expressway,Drunk Driving,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Streetlights Operational,Congested,1,1,2
ACC-10259,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.29588,78.41762,2022,11,28,20,Expressway,Overspeeding,Two-Wheeler,Vulnerable Road User (VRU),Rain,Damaged / Potholes,Streetlights Operational,Low,1,0,1
ACC-10260,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.30161,78.41321,2021,1,21,11,Expressway,Dangerous Junction Geometry,Two-Wheeler,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Daylight,Congested,1,1,1
ACC-10261,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.29378,78.41086,2024,7,27,19,Expressway,Dangerous Junction Geometry,Heavy Truck,Commercial Goods,Rain,Wet / Slippery,Poor / Intermittent,High,1,0,2
ACC-10262,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.30701,78.40971,2021,9,18,1,Expressway,Tire Burst / Mechanical,Heavy Truck,Commercial Goods,Clear,Under Construction,Streetlights Operational,Low,1,0,2
ACC-10263,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.3063,78.41316,2024,12,22,19,Expressway,Overspeeding,Car,Motorized Passenger,Clear,Damaged / Potholes,Streetlights Operational,Low,1,0,1
ACC-10264,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.30714,78.40785,2023,12,4,2,Expressway,Dangerous Junction Geometry,Car,Motorized Passenger,Fog/Mist,Under Construction,Streetlights Operational,High,1,1,0
ACC-10265,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.29565,78.41238,2022,12,11,18,Expressway,Overspeeding,Heavy Truck,Commercial Goods,Rain,Dry / Smooth,Streetlights Operational,Congested,1,0,3
ACC-10266,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.29865,78.4185,2021,9,14,10,Expressway,Drunk Driving,Heavy Truck,Commercial Goods,Clear,Damaged / Potholes,Daylight,Congested,1,0,1
ACC-10267,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.30314,78.41858,2024,10,23,7,Expressway,Dangerous Junction Geometry,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,Congested,1,0,0
ACC-10268,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.30487,78.42,2023,12,18,14,Expressway,Drunk Driving,Car,Motorized Passenger,Clear,Damaged / Potholes,Daylight,Low,1,0,0
ACC-10269,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.2939,78.40673,2022,9,18,8,Expressway,Overspeeding,Two-Wheeler,Vulnerable Road User (VRU),Clear,Under Construction,Daylight,Congested,1,0,1
ACC-10270,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.30652,78.40604,2021,4,9,5,Expressway,Tire Burst / Mechanical,Heavy Truck,Commercial Goods,Rain,Wet / Slippery,Unlit / Pitch Black,Medium,1,0,0
ACC-10271,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.30446,78.41985,2022,12,21,7,Expressway,Tire Burst / Mechanical,Heavy Truck,Commercial Goods,Rain,Dry / Smooth,Daylight,Congested,1,0,2
ACC-10272,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.29821,78.40724,2021,1,24,21,Expressway,Dangerous Junction Geometry,Car,Motorized Passenger,Rain,Wet / Slippery,Streetlights Operational,Medium,1,0,3
ACC-10273,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.29414,78.41926,2021,3,6,4,Expressway,Dangerous Junction Geometry,Car,Motorized Passenger,Clear,Damaged / Potholes,Poor / Intermittent,Low,1,1,3
ACC-10274,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.29702,78.40734,2021,11,20,7,Expressway,Dangerous Junction Geometry,Heavy Truck,Commercial Goods,Rain,Wet / Slippery,Daylight,High,1,0,1
ACC-10275,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.3011,78.41338,2021,9,6,20,Expressway,Dangerous Junction Geometry,Car,Motorized Passenger,Rain,Wet / Slippery,Unlit / Pitch Black,Low,1,2,2
ACC-10276,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.29967,78.41304,2021,2,22,7,Expressway,Drunk Driving,Car,Motorized Passenger,Rain,Wet / Slippery,Daylight,Congested,1,0,3
ACC-10277,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.30905,78.41677,2023,1,17,8,Expressway,Dangerous Junction Geometry,Two-Wheeler,Vulnerable Road User (VRU),Clear,Dry / Smooth,Daylight,Medium,1,1,0
ACC-10278,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.30545,78.40686,2021,11,3,22,Expressway,Drunk Driving,Heavy Truck,Commercial Goods,Fog/Mist,Damaged / Potholes,Unlit / Pitch Black,Congested,1,0,3
ACC-10279,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.30072,78.41087,2024,12,11,1,Expressway,Overspeeding,Car,Motorized Passenger,Fog/Mist,Dry / Smooth,Streetlights Operational,Medium,1,0,1
ACC-10280,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.29814,78.41537,2023,1,13,11,Expressway,Overspeeding,Heavy Truck,Commercial Goods,Clear,Dry / Smooth,Daylight,High,1,0,1
ACC-10281,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.29976,78.41716,2021,5,25,9,Expressway,Dangerous Junction Geometry,Heavy Truck,Commercial Goods,Rain,Dry / Smooth,Daylight,Medium,1,0,0
ACC-10282,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.30226,78.40576,2023,11,5,23,Expressway,Tire Burst / Mechanical,Car,Motorized Passenger,Fog/Mist,Damaged / Potholes,Streetlights Operational,High,1,1,1
ACC-10283,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.2964,78.41719,2022,12,24,8,Expressway,Drunk Driving,Two-Wheeler,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Daylight,Medium,1,2,0
ACC-10284,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.30424,78.40815,2021,9,15,1,Expressway,Tire Burst / Mechanical,Heavy Truck,Commercial Goods,Rain,Wet / Slippery,Unlit / Pitch Black,Congested,1,0,1
ACC-10285,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.30257,78.41732,2023,10,3,8,Expressway,Dangerous Junction Geometry,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,Low,1,0,0
ACC-10286,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.30118,78.41153,2024,3,1,7,Expressway,Dangerous Junction Geometry,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,Medium,1,0,1
ACC-10287,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.29471,78.4047,2023,8,18,22,Expressway,Overspeeding,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Streetlights Operational,Medium,1,2,0
ACC-10288,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.30721,78.40654,2021,10,19,21,Expressway,Drunk Driving,Car,Motorized Passenger,Clear,Under Construction,Streetlights Operational,Low,1,2,1
ACC-10289,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.30898,78.41617,2021,7,12,22,Expressway,Drunk Driving,Heavy Truck,Commercial Goods,Rain,Damaged / Potholes,Streetlights Operational,Medium,1,2,2
ACC-10290,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.29971,78.41909,2024,6,2,19,Expressway,Drunk Driving,Car,Motorized Passenger,Rain,Wet / Slippery,Unlit / Pitch Black,Medium,1,0,2
ACC-10291,Telangana,Rangareddy,Hyderabad,Hyderabad ORR (Gachibowli-Airport),Exit 17 Rajendranagar to Shamshabad km 30-36,17.30177,78.41042,2021,1,21,23,Expressway,Tire Burst / Mechanical,Heavy Truck,Commercial Goods,Fog/Mist,Under Construction,Unlit / Pitch Black,Congested,1,1,2
ACC-10292,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.44448,80.32619,2022,9,13,9,National Highway,Overspeeding,Bicycle,Vulnerable Road User (VRU),Clear,Dry / Smooth,Daylight,Congested,1,1,2
ACC-10293,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.44447,80.32578,2023,10,23,13,National Highway,Wrong-side Driving,Bicycle,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,High,1,0,1
ACC-10294,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.44759,80.33871,2024,1,8,21,National Highway,Wrong-side Driving,Pedestrian,Vulnerable Road User (VRU),Clear,Dry / Smooth,Streetlights Operational,High,1,2,1
ACC-10295,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.45439,80.33281,2021,12,24,7,National Highway,Potholes / Road Surface Defect,Pedestrian,Vulnerable Road User (VRU),Rain,Damaged / Potholes,Daylight,Congested,1,0,0
ACC-10296,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.45565,80.33415,2022,10,22,2,National Highway,Poor Lighting,Bicycle,Vulnerable Road User (VRU),Rain,Damaged / Potholes,Unlit / Pitch Black,Congested,1,1,1
ACC-10297,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.44958,80.32687,2022,10,4,21,National Highway,Potholes / Road Surface Defect,Two-Wheeler,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Unlit / Pitch Black,Congested,1,1,0
ACC-10298,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.44412,80.33455,2024,7,12,23,National Highway,Potholes / Road Surface Defect,Bicycle,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Poor / Intermittent,High,1,2,1
ACC-10299,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.44516,80.33688,2021,10,17,0,National Highway,Overspeeding,Pedestrian,Vulnerable Road User (VRU),Rain,Wet / Slippery,Streetlights Operational,Congested,1,1,2
ACC-10300,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.45239,80.33497,2024,10,12,22,National Highway,Overspeeding,Pedestrian,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Poor / Intermittent,Congested,1,1,1
ACC-10301,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.44256,80.32553,2021,12,8,23,National Highway,Wrong-side Driving,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Poor / Intermittent,High,1,3,0
ACC-10302,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.45249,80.33276,2024,2,3,9,National Highway,Potholes / Road Surface Defect,Two-Wheeler,Vulnerable Road User (VRU),Rain,Damaged / Potholes,Daylight,Congested,1,0,1
ACC-10303,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.45158,80.33881,2022,11,16,7,National Highway,Poor Lighting,Pedestrian,Vulnerable Road User (VRU),Clear,Dry / Smooth,Daylight,Medium,1,0,1
ACC-10304,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.45043,80.32876,2021,5,25,22,National Highway,Overspeeding,Bicycle,Vulnerable Road User (VRU),Clear,Dry / Smooth,Streetlights Operational,High,1,1,1
ACC-10305,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.44581,80.33835,2023,4,20,10,National Highway,Overspeeding,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,Medium,1,1,0
ACC-10306,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.45489,80.33091,2023,9,27,7,National Highway,Overspeeding,Bicycle,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Daylight,Congested,1,0,2
ACC-10307,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.4457,80.32958,2023,2,13,7,National Highway,Wrong-side Driving,Heavy Truck,Commercial Goods,Clear,Under Construction,Daylight,High,1,0,1
ACC-10308,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.45566,80.33118,2023,2,18,10,National Highway,Poor Lighting,Heavy Truck,Commercial Goods,Clear,Damaged / Potholes,Daylight,Medium,1,0,2
ACC-10309,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.45191,80.33381,2022,4,24,8,National Highway,Wrong-side Driving,Pedestrian,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Daylight,Low,1,1,3
ACC-10310,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.44747,80.3352,2021,9,2,8,National Highway,Poor Lighting,Bicycle,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,Congested,1,1,1
ACC-10311,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.44939,80.32825,2022,1,17,10,National Highway,Potholes / Road Surface Defect,Heavy Truck,Commercial Goods,Rain,Damaged / Potholes,Daylight,Medium,1,0,0
ACC-10312,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.44695,80.33118,2021,1,22,21,National Highway,Potholes / Road Surface Defect,Heavy Truck,Commercial Goods,Clear,Damaged / Potholes,Poor / Intermittent,Low,1,1,2
ACC-10313,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.45413,80.33473,2022,7,23,8,National Highway,Overspeeding,Heavy Truck,Commercial Goods,Rain,Wet / Slippery,Daylight,Medium,1,0,2
ACC-10314,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.45469,80.33147,2022,9,14,6,National Highway,Wrong-side Driving,Pedestrian,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,High,1,1,3
ACC-10315,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.45118,80.3304,2023,8,10,21,National Highway,Potholes / Road Surface Defect,Bicycle,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Unlit / Pitch Black,Medium,1,0,1
ACC-10316,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.44428,80.33241,2023,5,12,20,National Highway,Poor Lighting,Heavy Truck,Commercial Goods,Clear,Under Construction,Unlit / Pitch Black,Low,1,0,3
ACC-10317,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.44378,80.33612,2022,5,12,20,National Highway,Overspeeding,Bicycle,Vulnerable Road User (VRU),Clear,Under Construction,Streetlights Operational,Congested,1,0,0
ACC-10318,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.45079,80.32953,2023,7,21,18,National Highway,Potholes / Road Surface Defect,Two-Wheeler,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Unlit / Pitch Black,Low,1,0,2
ACC-10319,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.45231,80.32448,2024,6,24,19,National Highway,Overspeeding,Pedestrian,Vulnerable Road User (VRU),Rain,Wet / Slippery,Unlit / Pitch Black,Medium,1,0,3
ACC-10320,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.45527,80.32815,2022,7,4,19,National Highway,Potholes / Road Surface Defect,Two-Wheeler,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Streetlights Operational,High,1,1,2
ACC-10321,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.45606,80.33198,2022,12,10,2,National Highway,Wrong-side Driving,Pedestrian,Vulnerable Road User (VRU),Rain,Wet / Slippery,Poor / Intermittent,Congested,1,0,2
ACC-10322,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.44603,80.3298,2022,12,18,21,National Highway,Overspeeding,Bicycle,Vulnerable Road User (VRU),Rain,Wet / Slippery,Streetlights Operational,Low,1,1,0
ACC-10323,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.45065,80.33595,2022,5,1,2,National Highway,Poor Lighting,Heavy Truck,Commercial Goods,Rain,Dry / Smooth,Poor / Intermittent,Congested,1,1,2
ACC-10324,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.44937,80.336,2023,4,14,9,National Highway,Overspeeding,Pedestrian,Vulnerable Road User (VRU),Rain,Damaged / Potholes,Daylight,Congested,1,1,2
ACC-10325,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.44834,80.33441,2023,5,21,15,National Highway,Poor Lighting,Bicycle,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Daylight,Medium,1,1,1
ACC-10326,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.44254,80.32344,2024,4,11,0,National Highway,Potholes / Road Surface Defect,Pedestrian,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Streetlights Operational,Low,1,1,0
ACC-10327,Uttar Pradesh,Kanpur Nagar,Kanpur,GT Road NH-19 Kanpur-Prayagraj,Chakeri Industrial Extension to Maharajpur,26.44862,80.32628,2022,6,14,19,National Highway,Poor Lighting,Bicycle,Vulnerable Road User (VRU),Rain,Wet / Slippery,Unlit / Pitch Black,Medium,1,1,0
